LSOA2011,LSOA.name.(2011),Local.Authority.District.code.(2019),Local.Authority.District.name.(2019),Index.of.Multiple.Deprivation.(IMD).Score,Index.of.Multiple.Deprivation.(IMD).Rank,Index.of.Multiple.Deprivation.(IMD).Decile,Index.of.Multiple.Deprivation.(IMD).Decile,Income.Score.(Rank,Income.Score.(Decile,Employment.Score.(rate),Employment.Score.(Rank,Employment.Score.(Decile,"Education,.Skills.and.Training.Score","Education,.Skills.and.Training.Rank","Education,.Skills.and.Training.Decile",Health.Deprivation.and.Disability.Score,Health.Deprivation.and.Disability.Rank,Health.Deprivation.and.Disability.Decile,Crime.Score,Crime.Rank,Crime.Decile,Barriers.to.Housing.and.Services.Score,Barriers.to.Housing.and.Services.Rank,Barriers.to.Housing.and.Services.Decile,Living.Environment.Score,Living.Environment.Rank,Living.Environment.Decile,Income.Depriv.Affecting.Children.Index.(IDACI).Score.(rate),Income.Depriv.Affecting.Children.Index.(IDACI).Score.(Rank,Income.Depriv.Affecting.Children.Index.(IDACI).Score.(Decile,Income.Depriv.Affecting.Older.People.(IDAOPI).Score.(rate),Income.Depriv.Affecting.Older.People.(IDAOPI).Score.(Rank,Income.Depriv.Affecting.Older.People.(IDAOPI).Score.(Decile,Children.and.Young.People.Sub-domain.Score,Children.and.Young.People.Sub-domain.Rank,Children.and.Young.People.Sub-domain.Decile,Adult.Skills.Sub-domain.Score,Adult.Skills.Sub-domain.Rank,Adult.Skills.Sub-domain.Decile,Geographical.Barriers.Sub-domain.Score,Geographical.Barriers.Sub-domain.Rank,Geographical.Barriers.Sub-domain.Decile,Wider.Barriers.Sub-domain.Score,Wider.Barriers.Sub-domain.Rank,Wider.Barriers.Sub-domain.Decile,Indoors.Sub-domain.Score,Indoors.Sub-domain.Rank,Indoors.Sub-domain.Decile,Outdoors.Sub-domain.Score,Outdoors.Sub-domain.Rank,Outdoors.Sub-domain.Decile
E01008891,Birmingham 089B,E08000025,Birmingham,24.206,460,8,9,457.5,8,0.102,441,7,22.834,386,7,0.537,380.5,6,-0.145,527.5,9,26.164,495,8,37.282,382,6,0.099,535,9,0.2,415,7,0.155,360,6,0.354,390,7,-0.18,271,5,2.535,443,7,0.777,312,5,0.684,504,8
E01008892,Birmingham 089C,E08000025,Birmingham,41.546,295,5,6,208.5,4,0.183,263,5,34.378,289,5,0.894,229.5,4,0.286,361,6,32.654,289,5,28.52,528,9,0.339,178.5,3,0.357,199,4,0.545,205,4,0.413,294.5,5,-0.667,458.5,8,4.286,190,3,0.245,518.5,9,0.91,359.5,6
E01008893,Birmingham 089D,E08000025,Birmingham,30.457,393,7,8,400,7,0.138,363,6,12.282,490,8,0.67,321,6,0.27,370.5,6,28.037,439,7,52.716,115,2,0.193,403,7,0.179,440,7,-0.468,508,8,0.305,464.5,8,-0.647,452,8,3.594,309,5,1.238,81,2,0.873,388,7
E01008894,Birmingham 089E,E08000025,Birmingham,37.129,329,6,7,352,6,0.145,350,6,20.353,408,7,0.909,219,4,0.534,242,4,31.125,331,6,57.586,64,1,0.26,322,6,0.268,322,6,-0.392,495,8,0.385,335,6,-1.253,596,10,4.329,183,3,1.304,55,1,1.123,210,4
E01008895,Birmingham 089F,E08000025,Birmingham,29.323,404,7,8,420.5,7,0.106,429,7,23.556,374,6,0.747,285,5,-0.007,477.5,8,30.889,337,6,50.412,157,3,0.144,471,8,0.236,361.5,6,0.571,197,4,0.295,471,8,0.282,82,2,2.261,485,8,1.146,125.5,2,0.946,335,6
E01008896,Birmingham 066B,E08000025,Birmingham,54.214,127.5,2,3,125,2,0.215,157.5,3,55.219,93,2,1.089,154.5,3,-0.043,491.5,8,40.318,49,1,51.125,139,3,0.395,94.5,2,0.29,296,5,0.861,96.5,2,0.527,109,2,-0.001,192,3,4.525,151,3,1.117,142.5,3,1.088,231,4
E01008897,Birmingham 067B,E08000025,Birmingham,36.083,338,6,7,346,6,0.16,315.5,5,35.021,281,5,0.574,365.5,6,-0.097,503,8,33.287,267,5,46.227,219,4,0.203,394,7,0.282,308.5,5,0.168,354,6,0.465,213,4,-0.028,204.5,4,3.563,316,5,0.987,217.5,4,0.992,300,5
E01008898,Birmingham 066C,E08000025,Birmingham,47.742,210,4,5,240.5,4,0.203,195,4,47.75,162,3,0.748,284,5,0.324,337,6,37.125,101,2,50.775,149,3,0.283,283,5,0.389,174,3,0.631,179,3,0.507,145.5,3,-0.29,318,5,4.521,152,3,1.125,136.5,3,1.038,270,5
E01008899,Birmingham 037A,E08000025,Birmingham,64.848,23,1,2,26,1,0.295,12,1,63.866,40,1,0.952,202,4,0.398,305.5,5,38.162,81,2,43.62,265,5,0.361,147,3,0.5,92.5,2,0.773,125,2,0.592,33,1,-0.457,381,6,4.791,77.5,2,0.582,405.5,7,1.616,31,1
E01008901,Birmingham 037C,E08000025,Birmingham,61.057,48,1,2,34.5,1,0.276,30,1,54.723,100,2,0.934,210,4,0.142,432,7,37.316,97,2,46.839,207,4,0.355,157.5,3,0.539,74,2,0.529,213.5,4,0.558,66.5,2,-0.753,487,8,4.896,56,1,0.581,407,7,1.838,10,1
E01008905,Birmingham 040A,E08000025,Birmingham,53.928,135,3,4,44,1,0.201,201,4,58.584,66,2,0.688,316,5,0.308,348.5,6,35.268,169,3,42.436,284,5,0.375,120.5,2,0.758,3,1,0.109,372.5,6,0.647,2.5,1,-1.903,636,10,4.889,58,1,0.724,341,6,1.276,137,3
E01008906,Birmingham 049A,E08000025,Birmingham,54.427,122,2,3,31,1,0.216,152,3,58.12,69,2,0.326,468,8,0.357,323.5,6,36.032,140,3,43.292,273,5,0.409,75.5,2,0.616,39.5,1,0.202,345,6,0.621,10.5,1,-2.072,638,10,4.965,36,1,0.719,345,6,1.349,104,2
E01008907,Birmingham 040B,E08000025,Birmingham,67.824,10,1,2,21.5,1,0.281,25.5,1,55.806,84,2,1.438,49,1,1.045,69,2,36.205,130,3,45.938,230,4,0.387,107.5,2,0.705,13,1,0.661,163,3,0.552,71.5,2,-1.106,576,9,4.903,54,1,0.714,346,6,1.562,40,1
E01008909,Birmingham 041D,E08000025,Birmingham,45.386,244,4,5,146.5,3,0.194,229,4,44.171,193,4,0.226,502.5,8,0.948,84.5,2,37.162,100,2,23.671,570,9,0.327,202,4,0.517,87,2,-0.116,439.5,7,0.546,85.5,2,-1.039,562,9,4.985,34,1,-0.568,622,10,1.35,103,2
E01008910,Birmingham 050A,E08000025,Birmingham,50.158,188,3,4,87.5,2,0.212,169,3,58.318,67,2,0.603,352.5,6,-0.408,574,9,40.73,44,1,29.248,517,9,0.339,178.5,3,0.642,30,1,0.294,305,5,0.611,15,1,-0.895,532,9,5.368,6,1,-0.133,581,10,1.439,66,2
E01008911,Birmingham 049B,E08000025,Birmingham,54.359,124,2,3,75,2,0.234,103,2,51.938,131,3,0.091,543,9,1.124,48,1,44.153,23,1,27.012,544,9,0.403,85,2,0.272,319.5,5,0.539,207,4,0.541,91,2,-0.181,273,5,5.192,12,1,-0.168,586,10,1.304,121,2
E01008913,Birmingham 050B,E08000025,Birmingham,67.372,12,1,2,5,1,0.311,7,1,40.822,233,4,1.699,10,1,0.262,377.5,6,37.925,85,2,36.701,403,7,0.502,14,1,0.728,6.5,1,0.144,362.5,6,0.508,144,3,-1.144,582,10,5.104,14,1,0.086,552,9,1.773,14,1
E01008914,Birmingham 050C,E08000025,Birmingham,48.135,206,4,5,198.5,4,0.199,210.5,4,43.465,203,4,1.222,104,2,0.638,191,3,35.221,172,3,31.315,480,8,0.443,43,1,0.565,62,1,0.704,152,3,0.468,205.5,4,-0.651,453,8,4.604,128.5,2,0.216,529.5,9,1.195,167.5,3
E01008915,Birmingham 030A,E08000025,Birmingham,42.113,287,5,6,258.5,5,0.162,312,5,35.219,279,5,0.467,408,7,0.035,466,8,29.251,396,7,70.444,5,1,0.265,317,5,0.273,318,5,0.46,237,4,0.432,266.5,5,-0.614,440,7,3.774,278,5,1.646,7,1,1.302,122.5,2
E01008916,Birmingham 037E,E08000025,Birmingham,63.81,29,1,2,31,1,0.237,98,2,60.855,50,1,1.168,127.5,2,0.236,391.5,7,36.25,125,2,66.56,14,1,0.387,107.5,2,0.662,23.5,1,0.58,193.5,4,0.595,27.5,1,-0.905,535.5,9,4.843,67,2,1.377,37,1,1.644,27,1
E01008917,Birmingham 102A,E08000025,Birmingham,20.608,521,9,10,465.5,8,0.1,448,7,24.478,364,6,0.436,420.5,7,-0.381,567,9,23.179,554,9,18.619,604,10,0.163,444.5,7,0.125,529.5,9,0.308,300,5,0.35,395,7,-0.375,350,6,2.281,482,8,-0.169,587,10,0.533,588,10
E01008918,Birmingham 094A,E08000025,Birmingham,54.072,133,3,4,139,3,0.26,52.5,1,46.168,180,3,1.242,95.5,2,0.775,147,3,32.002,312,5,28.682,526,9,0.359,152,3,0.356,202.5,4,0.845,102,2,0.468,205.5,4,-0.442,375,6,3.998,239.5,4,0.41,476.5,8,0.641,533.5,9
E01008919,Birmingham 095A,E08000025,Birmingham,39.872,307,5,6,323.5,6,0.192,236.5,4,26.756,347,6,0.867,242,4,0.875,107,2,35.153,177,3,27.771,536,9,0.321,219.5,4,0.181,438,7,0.424,251,4,0.356,384.5,6,0.283,81,2,3.118,380,6,0.245,518.5,9,0.841,411.5,7
E01008920,Birmingham 094B,E08000025,Birmingham,23.332,473,8,9,457.5,8,0.122,397.5,7,23.325,375,6,0.098,542,9,0.197,411,7,24.712,525,9,29.923,507,8,0.172,435,7,0.095,576.5,9,0.049,394,7,0.372,353,6,-0.112,237,4,2.072,510,8,0.477,450,8,0.635,540,9
E01008921,Birmingham 094C,E08000025,Birmingham,35.266,346,6,7,330,6,0.172,290,5,28.424,335,6,0.89,233,4,-0.041,489,8,30.888,338,6,29.76,509,8,0.33,198.5,4,0.153,480.5,8,0.409,256,4,0.376,346,6,0.037,177,3,2.973,401,7,0.361,490,8,0.839,415,7
E01008923,Birmingham 102B,E08000025,Birmingham,55.858,109,2,3,100.5,2,0.232,107,2,54.649,104,2,1.689,13,1,0.664,179,3,28.854,407,7,28.201,533,9,0.442,44.5,1,0.345,224.5,4,1.113,52,1,0.49,171,3,-1.192,589,10,4.019,235,4,0.435,469,8,0.534,587,10
E01008924,Birmingham 101A,E08000025,Birmingham,32.098,377,6,7,392.5,7,0.124,394,7,21.062,400,7,0.87,241,4,1.105,57,1,30.576,346,6,29.455,515,9,0.156,456.5,8,0.228,373,6,0.18,352,6,0.332,424,7,0.308,78,2,2.122,502,8,0.456,457,8,0.629,543,9
E01008925,Birmingham 102C,E08000025,Birmingham,18.733,544,9,10,552,9,0.095,466.5,8,19.009,420,7,0.263,485.5,8,-0.287,555.5,9,24.736,523,9,30.234,500,8,0.132,490.5,8,0.065,608,10,-0.084,430.5,7,0.343,406,7,0.111,140,3,1.477,580,10,0.489,444,7,0.641,533.5,9
E01008927,Birmingham 102D,E08000025,Birmingham,50.533,181,3,4,189,3,0.221,139,3,65.743,24,1,0.899,225,4,0.298,354.5,6,37.11,102,2,23.84,566,9,0.399,91.5,2,0.285,304.5,5,1.437,12,1,0.51,142,3,0.17,114,2,3.769,280,5,0.251,516,9,0.417,619,10
E01008928,Birmingham 102E,E08000025,Birmingham,50.213,187,3,4,120,2,0.22,141,3,49.159,155,3,1.2,111,2,0.418,296,5,34.388,217,4,22.296,581,10,0.388,104,2,0.401,151.5,3,0.825,107,2,0.493,166.5,3,-0.232,293.5,5,4.08,219,4,0.16,536,9,0.42,618,10
E01008929,Birmingham 106C,E08000025,Birmingham,62.762,34,1,2,71,2,0.282,22.5,1,54.637,105,2,1.698,11,1,1.095,60,1,33.312,264,5,19.957,596,10,0.428,59,1,0.426,127,2,1.115,50.5,1,0.49,171,3,-0.161,260,5,3.831,269.5,5,-0.147,583,10,0.649,526,9
E01008930,Birmingham 106D,E08000025,Birmingham,32.371,373,6,7,343,6,0.137,366.5,6,29.547,328,6,0.675,319,5,0.994,75,2,23.691,543,9,19.571,598,10,0.278,296,5,0.245,349,6,0.526,215,4,0.37,356,6,-0.476,390,7,2.553,441,7,-0.015,569,9,0.413,620,10
E01008931,Birmingham 094D,E08000025,Birmingham,51.975,159,3,4,161,3,0.254,63,1,34.343,290,5,1.131,139.5,3,0.795,139.5,3,37.828,90,2,27.145,541,9,0.352,163.5,3,0.267,323.5,6,0.574,196,4,0.409,300,5,0.154,122.5,2,3.909,259,5,0.387,485,8,0.522,593,10
E01008932,Birmingham 111A,E08000025,Birmingham,49.568,193,4,5,139,3,0.201,201,4,31.131,315,5,1.223,103,2,0.544,235,4,29.942,370,6,51.987,122,2,0.393,96.5,2,0.391,168,3,0.252,326,6,0.422,281.5,5,-0.605,434,7,3.866,264,5,1.202,94,2,0.927,351,6
E01008933,Birmingham 105A,E08000025,Birmingham,31.465,384,6,7,345,6,0.125,392,7,17.458,434,7,0.559,371.5,6,0.619,201.5,4,28.454,422,7,40.601,321.5,6,0.265,317,5,0.191,424.5,7,-0.013,409,7,0.317,448.5,7,-0.035,207,4,2.671,425,7,0.764,319,5,1.026,278,5
E01008934,Birmingham 105B,E08000025,Birmingham,19.228,540,9,10,457.5,8,0.093,478.5,8,9.167,526,9,0.364,449,8,-0.136,519,9,26.147,498,8,23.435,573,9,0.127,497.5,8,0.156,472,8,-0.853,568.5,9,0.29,480.5,8,-0.078,225.5,4,2.287,480,8,-0.011,567,9,0.817,429,7
E01008935,Birmingham 111B,E08000025,Birmingham,60.175,57,1,2,56.5,1,0.246,79,2,54.13,110,2,1.56,30,1,0.94,88.5,2,32.204,300,5,31.588,474,8,0.478,21.5,1,0.418,134,3,1.144,45.5,1,0.481,185,3,-0.867,521,9,4.342,181,3,0.486,445,7,0.785,444.5,7
E01008936,Birmingham 111C,E08000025,Birmingham,34.584,353,6,7,341,6,0.19,242.5,4,15.615,453,8,0.491,397,7,0.472,269,5,34.14,229,4,30.73,491,8,0.25,338.5,6,0.22,383.5,6,-0.504,515.5,9,0.345,400.5,7,0.125,135.5,3,3.355,345,6,0.345,497.5,8,0.956,328,6
E01008937,Birmingham 115A,E08000025,Birmingham,44.835,250,4,5,268,5,0.207,184,3,27.542,341,6,1.143,133.5,3,0.813,127,2,27.866,449,8,43.702,262,5,0.279,293,5,0.285,304.5,5,0.288,308,5,0.384,337.5,6,-0.822,507,8,3.724,292,5,0.947,231,4,0.865,396,7
E01008938,Birmingham 111D,E08000025,Birmingham,50.959,175,3,4,192.5,3,0.217,148,3,41.75,220,4,1.067,166,3,0.702,172,3,36.063,136,3,45.308,242,4,0.36,149.5,3,0.324,248,4,0.551,203,4,0.475,192.5,3,-0.12,240.5,4,4.136,209.5,4,1.05,176.5,3,0.743,469,8
E01008939,Birmingham 111E,E08000025,Birmingham,40.022,306,5,6,326.5,6,0.17,295,5,32.322,304,5,0.987,195,4,0.743,157.5,3,30.843,341,6,41.111,309,5,0.248,340,6,0.298,283,5,0.454,238,4,0.407,302,5,-0.162,261,5,3.406,341,6,0.916,247,4,0.691,499,8
E01008940,Birmingham 115B,E08000025,Birmingham,56.944,97,2,3,164.5,3,0.227,121.5,2,66.21,22,1,1.556,31.5,1,0.548,233,4,28.463,421,7,46.131,222,4,0.4,89.5,2,0.321,249,4,1.719,5,1,0.463,218,4,-0.707,475,8,3.733,288.5,5,1.119,140.5,3,0.615,552,9
E01008941,Birmingham 115C,E08000025,Birmingham,52.436,149,3,4,219.5,4,0.23,112.5,2,47.294,168,3,1.282,82,2,0.486,262.5,5,36.4,118,2,45.608,235,4,0.375,120.5,2,0.295,288,5,0.929,78,2,0.464,215.5,4,-0.077,223.5,4,4.116,213,4,1.081,165,3,0.685,502.5,8
E01008942,Birmingham 117A,E08000025,Birmingham,42.421,284,5,6,291.5,5,0.167,303.5,5,42.585,211,4,1.05,170,3,0.562,226,4,28.127,436,7,46.899,204,4,0.3,256.5,4,0.314,255.5,4,0.726,145,3,0.458,230,4,-0.49,396.5,7,3.429,339,6,1.123,138,3,0.678,506.5,8
E01008943,Birmingham 117B,E08000025,Birmingham,42.708,281,5,6,295.5,5,0.183,263,5,41.632,221,4,1.198,113.5,2,0.622,199,4,27.967,443.5,7,37.312,380.5,6,0.308,244.5,4,0.281,311,5,0.734,140.5,3,0.448,247,4,-0.703,473,8,3.626,303,5,0.802,304,5,0.621,548,9
E01008944,Birmingham 115D,E08000025,Birmingham,43.49,271,5,6,293,5,0.178,274.5,5,39.088,247,4,0.916,216,4,0.658,183,3,39.814,54,1,38.03,371,6,0.36,149.5,3,0.196,420,7,0.962,71,2,0.385,335,6,0.575,23,1,3.091,382,6,0.861,270.5,5,0.529,589.5,10
E01008945,Birmingham 122A,E08000025,Birmingham,33.14,363,6,7,348.5,6,0.136,368.5,6,38.734,250,4,0.538,379,6,0.124,440,7,26.157,496,8,41.657,297,5,0.277,298,5,0.27,321,6,0.918,80.5,2,0.39,329,6,-0.607,435,7,3.209,369.5,6,0.987,217.5,4,0.544,583,10
E01008946,Birmingham 122B,E08000025,Birmingham,35.355,344,6,7,348.5,6,0.151,331.5,6,30.192,323,6,0.725,297.5,5,0.758,150.5,3,23.284,550,9,43.38,272,5,0.227,366,6,0.279,313,5,0.421,253,4,0.391,327.5,6,-0.608,436,7,2.664,427.5,7,1.042,181,3,0.574,574.5,9
E01008947,Birmingham 122C,E08000025,Birmingham,28.231,413,7,8,445.5,7,0.089,491,8,29.91,324,6,0.921,214,4,0.699,174,3,20.497,596,10,43.404,271,5,0.196,397.5,7,0.158,470,8,0.392,263,5,0.393,325,6,-0.808,503,8,2.282,481,8,1.03,192,3,0.615,552,9
E01008948,Birmingham 122D,E08000025,Birmingham,21.806,496,8,9,510.5,8,0.073,535,9,33.343,297,5,0.086,546,9,0.268,373,6,22.24,567,9,40.817,317,5,0.184,418.5,7,0.082,590.5,10,0.537,208,4,0.405,307,5,-0.445,376.5,6,2.195,491,8,0.932,238,4,0.617,550,9
E01008949,Birmingham 122E,E08000025,Birmingham,10.07,610,10,11,617,10,0.042,604.5,10,13.43,476,8,0.239,498,8,-0.438,581.5,10,18.108,620,10,25.321,560,9,0.029,628,10,0.066,605.5,10,-0.623,533,9,0.329,429.5,7,-0.239,297.5,5,0.929,604,10,0.262,513,9,0.56,577.5,10
E01008950,Birmingham 113A,E08000025,Birmingham,31.513,383,6,7,390.5,7,0.186,255.5,4,8.937,530,9,1.073,163,3,-0.05,494,8,34.42,214,4,18.842,602,10,0.1,534,9,0.202,409,7,-0.804,561,9,0.285,487,8,0.147,124.5,2,3.349,347,6,-0.23,593,10,0.638,537.5,9
E01008951,Birmingham 112A,E08000025,Birmingham,20.834,514,9,10,516.5,9,0.102,441,7,2.062,610,10,0.286,480,8,0.269,372,6,25.23,517,9,42.732,280,5,0.067,580,10,0.175,446.5,7,-1.164,591,10,0.171,598.5,10,0.073,159.5,3,1.701,560.5,9,0.945,232,4,0.778,448.5,7
E01008952,Birmingham 112B,E08000025,Birmingham,27.467,420,7,8,476.5,8,0.088,493,8,9.663,519,9,0.882,237.5,4,0.477,267,5,22.349,565,9,64.063,22,1,0.153,460.5,8,0.188,429,7,-0.235,465,8,0.239,528.5,9,-1.021,557,9,2.819,418,7,1.507,17,1,1.126,207.5,4
E01008953,Birmingham 107A,E08000025,Birmingham,34.644,352,6,7,335.5,6,0.136,368.5,6,25.519,356,6,0.802,263,5,0.413,299,5,29.52,385,7,43.658,264,5,0.29,273,5,0.214,393,7,0.406,257,5,0.346,399,7,-0.059,215,4,2.935,407,7,0.917,245.5,4,0.938,343.5,6
E01008954,Birmingham 113B,E08000025,Birmingham,21.519,501,8,9,514.5,9,0.12,401,7,15.58,455,8,0.339,463,8,-0.182,537,9,30.491,354,6,23.699,569,9,0.137,482.5,8,0.071,601,10,-0.268,469,8,0.325,436.5,7,0.34,70,2,2.001,519,9,0.256,515,9,0.394,622,10
E01008955,Birmingham 112C,E08000025,Birmingham,25.344,438,7,8,495,8,0.108,427,7,5.55,560,9,0.422,428,7,0.842,121,2,19.864,602,10,55.403,83,2,0.091,547,9,0.148,489,8,-0.822,565,9,0.232,540.5,9,-0.451,378,6,1.705,556,9,1.255,70.5,2,1.065,246.5,4
E01008956,Birmingham 112D,E08000025,Birmingham,15.361,571,9,10,543.5,9,0.057,572,9,1.364,627,10,0.262,488,8,-0.152,532.5,9,24.896,521,9,38.045,369,6,0.058,592.5,10,0.206,404,7,-1.58,619.5,10,0.167,607.5,10,-0.147,255,4,2.191,492,8,0.81,298,5,0.675,509,8
E01008957,Birmingham 112E,E08000025,Birmingham,32.874,366,6,7,369,6,0.138,363,6,16.22,444,7,0.65,330,6,0.177,421,7,23.278,551,9,62.536,31,1,0.253,333,6,0.176,445,7,0.181,351,6,0.27,499,8,-0.612,438.5,7,2.666,426,7,1.524,13,1,0.941,339,6
E01008958,Birmingham 113C,E08000025,Birmingham,39.665,309,5,6,303,5,0.198,215,4,38.189,255,4,0.752,282,5,0.233,393.5,7,37.563,94,2,20.869,589,10,0.337,182,3,0.204,406,7,0.85,100,2,0.398,316.5,5,0.416,49.5,1,3.172,373,6,-0.014,568,9,0.555,580,10
E01008959,Birmingham 116A,E08000025,Birmingham,19.466,536,9,10,453.5,8,0.083,505.5,8,7.173,545,9,0.133,533,9,-0.442,583,10,29.272,394,7,36.912,395,7,0.163,444.5,7,0.151,484,8,-0.561,523,9,0.237,533,9,0.243,92,2,2.051,512,8,0.804,302.5,5,0.574,574.5,9
E01008960,Birmingham 116B,E08000025,Birmingham,18.062,552,9,10,574.5,9,0.077,520,9,2.865,594,10,0.23,501,8,0.443,286,5,20.27,598,10,48.86,177,3,0.048,601,10,0.113,551,9,-1.065,584,10,0.189,580,10,-0.335,330,6,1.597,573,9,1.022,197,4,1.145,202,4
E01008961,Birmingham 116C,E08000025,Birmingham,22.079,491,8,9,510.5,8,0.093,478.5,8,5.412,563,9,0.41,431,7,-0.051,495,8,25.494,513,9,52.994,112,2,0.078,569,9,0.154,477.5,8,-0.853,568.5,9,0.232,540.5,9,-0.587,427,7,3.063,389,7,1.213,92,2,0.981,310,5
E01008962,Birmingham 116D,E08000025,Birmingham,52.052,156,3,4,49,1,0.251,67.5,2,31.605,310,5,0.725,297.5,5,0.758,150.5,3,35.258,171,3,21.862,585,10,0.528,11,1,0.201,411.5,7,0.563,199,4,0.384,337.5,6,0.104,143.5,3,3.609,307,5,0.115,545,9,0.452,613,10
E01008963,Birmingham 107B,E08000025,Birmingham,38.923,315,5,6,320.5,5,0.147,344,6,16.494,442,7,0.85,245,4,0.633,194,4,29.431,388,7,64.862,17,1,0.324,210.5,4,0.245,349,6,-0.048,420,7,0.31,457,8,-0.093,233,4,2.995,399,7,1.52,15.5,1,1.156,193,3
